Early Voting Locations,Total,10/24/22,10/25/22,10/26/22,10/27/22,10/28/22,10/29/22,10/30/22,10/31/22,11/01/22,11/02/22,11/03/22,11/04/22,*11/08/22
Hunters Creek Swim And Racquet Club,414,0,0,0,0,0,0,0,0,0,0,0,0,414
Igo Branch Library,15453,1335,1231,1223,1199,1268,1091,559,962,1154,1149,1302,1829,1151
Indian Springs Elementary,758,0,0,0,0,0,0,0,0,0,0,0,0,758
Inez Foster Elementary School,282,0,0,0,0,0,0,0,0,0,0,0,0,282
James Russell Lowell Middle,165,0,0,0,0,0,0,0,0,0,0,0,0,165
Joe Ward Recreation Center,249,0,0,0,0,0,0,0,0,0,0,0,0,249
John Greenleaf Whittier Middle,318,0,0,0,0,0,0,0,0,0,0,0,0,318
John Hoffmann Elementary,825,0,0,0,0,0,0,0,0,0,0,0,0,825
John Marshall High School,459,0,0,0,0,0,0,0,0,0,0,0,0,459
Johnston Branch Library,14302,653,598,558,533,530,382,202,441,468,517,599,917,6398
Judson ISD ERC,691,0,0,0,0,0,0,0,0,0,0,0,0,691
Judson ISD PAC,789,0,0,0,0,0,0,0,0,0,0,0,0,789
Julia Yates Semmes Library,13857,1237,1230,1224,1220,1244,1006,495,982,1114,1106,1312,1687,0
Kallison Elementary School,751,0,0,0,0,0,0,0,0,0,0,0,0,751
Kate Schenck Elementary School,369,0,0,0,0,0,0,0,0,0,0,0,0,369
Kenwood Community Center,319,0,0,0,0,0,0,0,0,0,0,0,0,319
Kinder Ranch Elementary School,824,0,0,0,0,0,0,0,0,0,0,0,0,824
Kingsborough Middle School,361,0,0,0,0,0,0,0,0,0,0,0,0,361
Kirby City Hall,4142,381,292,302,267,293,211,148,252,281,283,372,708,352
Krueger Middle School,322,0,0,0,0,0,0,0,0,0,0,0,0,322
Krueger Elementary School,447,0,0,0,0,0,0,0,0,0,0,0,0,447
Ladera Elementary,274,37,15,17,21,43,59,82,0,0,0,0,0,0
Langley Elementary School,1059,0,0,0,0,0,0,0,0,0,0,0,0,1059
Larkspur Elementary School,331,0,0,0,0,0,0,0,0,0,0,0,0,331
Las Lomas Elementary School,202,0,0,0,0,0,0,0,0,0,0,0,0,202
Las Palmas Branch Library,6143,673,595,545,497,497,377,155,405,417,500,592,890,0
Laurel Heights United Methodist,377,0,0,0,0,0,0,0,0,0,0,0,0,377
Leon Valley Conference Center,10843,934,862,902,789,801,637,284,725,698,721,934,1494,1062
Leon Springs Elementary School,880,0,0,0,0,0,0,0,0,0,0,0,0,880
Lewis Elementary School,638,0,0,0,0,0,0,0,0,0,0,0,0,638
Lieck Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0
Linton Elementary School,72,0,0,0,0,0,0,0,0,0,0,0,0,72
Lion's Field Adult and Senior Center,10465,833,775,869,805,838,579,294,812,880,839,875,1129,937
Longs Creek Elementary School,515,0,0,0,0,0,0,0,0,0,0,0,0,515
Lopez Middle School,633,0,0,0,0,0,0,0,0,0,0,0,0,633
Luckey Ranch Elementary,778,0,0,0,0,0,0,0,0,0,0,0,0,778
Luther Burbank High School,127,0,0,0,0,0,0,0,0,0,0,0,0,127
Madison High School,258,0,0,0,0,0,0,0,0,0,0,0,0,258
Marin B. Fenwick Academy,206,0,0,0,0,0,0,0,0,0,0,0,0,206
Martin Luther King Jr. Academy,139,0,0,0,0,0,0,0,0,0,0,0,0,139
Maury Maverick Jr. Library,13722,1332,1229,1226,1214,1272,1027,443,957,1000,1123,1235,1664,0
Maverick Branch Library,1087,0,0,0,0,0,0,0,0,0,0,0,0,1087
May Elementary School,582,0,0,0,0,0,0,0,0,0,0,0,0,582
McCreless Branch Library,1181,0,0,0,0,0,0,0,0,0,0,0,0,1181
McDermott Elementary School,203,0,0,0,0,0,0,0,0,0,0,0,0,203
Mead Elementary School,333,0,0,0,0,0,0,0,0,0,0,0,0,333
Meadow Village Elementary,241,0,0,0,0,0,0,0,0,0,0,0,0,241
Memorial Branch Library,547,0,0,0,0,0,0,0,0,0,0,0,0,547
Metzger Middle School,864,0,0,0,0,0,0,0,0,0,0,0,0,864
Michael Elementary School,716,0,0,0,0,0,0,0,0,0,0,0,0,716
Miguel Carrillo, Jr. Elem School,268,0,0,0,0,0,0,0,0,0,0,0,0,268
Millers Point Elementary School,536,0,0,0,0,0,0,0,0,0,0,0,0,536
Mireles Elementary School,827,0,0,0,0,0,0,0,0,0,0,0,0,827
Mirabeau B. Lamar Elementary,289,0,0,0,0,0,0,0,0,0,0,0,0,289
Mission Academy,441,0,0,0,0,0,0,0,0,0,0,0,0,441
Mission Branch Library,8416,709,705,606,604,579,508,211,396,501,541,724,1026,925
Mission Del Lago Community,448,0,0,0,0,0,0,0,0,0,0,0,0,448
Montgomery Elementary School,398,0,0,0,0,0,0,0,0,0,0,0,0,398
Mora Elementary School,471,0,0,0,0,0,0,0,0,0,0,0,0,471
Mount Calvary Lutheran Evangelical,605,0,0,0,0,0,0,0,0,0,0,0,0,605
Murnin Elementary School,574,0,0,0,0,0,0,0,0,0,0,0,0,574
Myers Elementary School,354,0,0,0,0,0,0,0,0,0,0,0,0,354
Neff Middle School,363,0,0,0,0,0,0,0,0,0,0,0,0,363
Nichols Elementary School,531,0,0,0,0,0,0,0,0,0,0,0,0,531
Northeast Lakeview College,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Hills Elementary,530,0,0,0,0,0,0,0,0,0,0,0,0,530
Northside Activity Center,8515,653,690,672,654,643,620,202,509,619,655,777,991,830
Northwest Church Of Christ,235,0,0,0,0,0,0,0,0,0,0,0,0,235
Northwest Crossing Elem.,207,0,0,0,0,0,0,0,0,0,0,0,0,207
Northwest Vista College,13625,1008,985,1023,954,1017,972,505,819,902,1138,1342,1724,1236
Northwood Elementary School,608,0,0,0,0,0,0,0,0,0,0,0,0,608
Oak Grove Elementary School,214,0,0,0,0,0,0,0,0,0,0,0,0,214
Oak Hills Terrace Elementary,337,0,0,0,0,0,0,0,0,0,0,0,0,337
Oak Meadow United Methodist,447,0,0,0,0,0,0,0,0,0,0,0,0,447
Ogden Elementary School,127,0,0,0,0,0,0,0,0,0,0,0,0,127
Ollie Perry Storm Elem School,92,0,0,0,0,0,0,0,0,0,0,0,0,92
Olmos Elementary School,370,0,0,0,0,0,0,0,0,0,0,0,0,370
Olmos Park City Hall,5125,441,442,422,399,439,309,143,398,392,405,519,816,0
Olympia Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0
Olympia Hills Golf Club,302,0,0,0,0,0,0,0,0,0,0,0,0,302
Ott Elementary School,337,0,0,0,0,0,0,0,0,0,0,0,0,337
Our Lady Of The Lake University,1353,99,133,111,116,138,86,22,53,95,109,136,255,0
Palo Alto College,2062,181,142,180,128,174,89,44,106,135,177,197,328,181
Park Village Blended Learning,526,0,0,0,0,0,0,0,0,0,0,0,0,526
Parman Branch Library @ Stone Oak,16784,1093,1181,1198,1228,1316,1192,698,1253,1385,1526,1607,1994,1113
Paschall Elementary School,466,0,0,0,0,0,0,0,0,0,0,0,0,466
Pease Middle School,540,0,0,0,0,0,0,0,0,0,0,0,0,540
Pecan Valley Elementary School,382,0,0,0,0,0,0,0,0,0,0,0,0,382
Perales Steam Elementary,104,0,0,0,0,0,0,0,0,0,0,0,0,104
Pieper Ranch Middle,207,0,0,0,0,0,0,0,0,0,0,0,0,207
Poe Middle School,77,0,0,0,0,0,0,0,0,0,0,0,0,77
Powell Elementary School,305,0,0,0,0,0,0,0,0,0,0,0,0,305
Precinct 1 Satellite Office,4559,378,395,357,316,328,170,67,253,262,335,395,609,694
Precinct 3 Satellite Office,4960,271,394,496,509,521,319,120,324,372,453,445,736,0
Pre-K Academy At West Avenue,355,0,0,0,0,0,0,0,0,0,0,0,0,355
Raba Elementary School,549,0,0,0,0,0,0,0,0,0,0,0,0,549
Ramirez Community Center,0,0,0,0,0,0,0,0,0,0,0,0,0
Rawlinson Middle School,679,0,0,0,0,0,0,0,0,0,0,0,0,679
Ray D Corbett Jr High School,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayburn Elementary School,271,0,0,0,0,0,0,0,0,0,0,0,0,271
Redland Oaks Elementary School,679,0,0,0,0,0,0,0,0,0,0,0,0,679
Regency Place Elementary,394,0,0,0,0,0,0,0,0,0,0,0,0,394
Rhodes Elementary School,401,0,0,0,0,0,0,0,0,0,0,0,0,401
Ridgeview Elementary School,602,0,0,0,0,0,0,0,0,0,0,0,0,602
Riverside Park Elementary,209,0,0,0,0,0,0,0,0,0,0,0,0,209
Roan Forest Elementary School,472,0,0,0,0,0,0,0,0,0,0,0,0,472
Rosewood Rehabilitation & Healthcare,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Ridge Elementary School,485,0,0,0,0,0,0,0,0,0,0,0,0,485
Rudder Middle School,531,0,0,0,0,0,0,0,0,0,0,0,0,531
S.J. Davis Middle School,139,0,0,0,0,0,0,0,0,0,0,0,0,139
SAC Victory Center,4234,402,371,334,318,336,221,123,240,322,352,467,748,0
Salinas Elementary School,26,0,0,0,0,0,0,0,0,0,0,0,0,26
Sam Houston High School,76,0,0,0,0,0,0,0,0,0,0,0,0,76
Samuel A. Maverick Elem School,183,0,0,0,0,0,0,0,0,0,0,0,0,183
San Antonio College,0,0,0,0,0,0,0,0,0,0,0,0,0
San Antonio Housing Authority,402,0,0,0,0,0,0,0,0,0,0,0,0,402
San Antonio M.U.D. #1,315,0,0,0,0,0,0,0,0,0,0,0,0,315
San Antonio Shrine Auditorium,784,0,0,0,0,0,0,0,0,0,0,0,0,784
San Pedro Church Of Christ,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarah King Elementary School,191,0,0,0,0,0,0,0,0,0,0,0,0,191
Scarborough Elementary School,1034,0,0,0,0,0,0,0,0,0,0,0,0,1034
Schaefer Branch Library,6440,563,526,495,472,493,359,193,358,403,429,508,697,944
Scobee Elementary School,601,0,0,0,0,0,0,0,0,0,0,0,0,601
Semmes Branch Library,1308,0,0,0,0,0,0,0,0,0,0,0,0,1308
Shavano Park City Hall,15671,1093,1181,1198,1228,1316,1192,698,1253,1385,1526,1607,1994,0
Shearer Hills Baptist Church,386,0,0,0,0,0,0,0,0,0,0,0,0,386
Shepherd King Lutheran Church,295,0,0,0,0,0,0,0,0,0,0,0,0,295
Sky Harbour Elementary School,221,0,0,0,0,0,0,0,0,0,0,0,0,221
Smith Elementary School,165,0,0,0,0,0,0,0,0,0,0,0,0,165
Somerset City Hall,594,0,0,0,0,0,0,0,0,0,0,0,0,594
Sonny Melendrez Community Center,78,0,0,0,0,0,0,0,0,0,0,0,0,78
South Park Mall,0,0,0,0,0,0,0,0,0,0,0,0,0
South San Antonio High School,291,0,0,0,0,0,0,0,0,0,0,0,0,291
