Early Voting Locations,Total,04/19/21,04/20/21,04/21/21,04/22/21,04/23/21,04/24/21,04/26/21,04/27/21,*05/01/21
Northeast Lakeview College,0,0,0,0,0,0,0,0,0,0
Northeast Lakeview College (ED),0,0,0,0,0,0,0,0,0,0
Northern Hills Elementary School,268,0,0,0,0,0,0,0,0,268
Northside Activity Center,3503,187,224,230,188,272,336,510,784,386
Northwest Church of Christ,91,0,0,0,0,0,0,0,0,91
Northwest Crossing Elementary School,151,0,0,0,0,0,0,0,0,151
Northwest Vista College,1094,56,56,52,34,75,115,131,295,140
Northwood Elementary School,307,0,0,0,0,0,0,0,0,307
Oak Grove Elementary School,0,0,0,0,0,0,0,0,0,0
Oak Hills Terrace Elementary School,128,0,0,0,0,0,0,0,0,128
Oak Meadow Elementary School,0,0,0,0,0,0,0,0,0,0
Oak Meadow United Methodist Church,243,0,0,0,0,0,0,0,0,243
Ogden Elementary School,77,0,0,0,0,0,0,0,0,77
Old Converse City Hall,0,0,0,0,0,0,0,0,0,0
Ollie Perry Storm Elementary School,21,0,0,0,0,0,0,0,0,21
Olmos Elementary School,149,0,0,0,0,0,0,0,0,149
Olmos Park City Hall,0,0,0,0,0,0,0,0,0,0
Olympia Elementary School,29,0,0,0,0,0,0,0,0,29
Olympia Hills Golf Club,0,0,0,0,0,0,0,0,0,0
Ott Elementary School,0,0,0,0,0,0,0,0,0,0
Our Lady of the Lake University,0,0,0,0,0,0,0,0,0,0
Palo Alto College,720,30,35,43,54,47,57,115,220,119
Palo Alto Elementary School,0,0,0,0,0,0,0,0,0,0
Park Village Blended Learning Academy,160,0,0,0,0,0,0,0,0,160
Parman Branch Library @ Stone Oak,4200,212,300,340,367,420,452,673,848,588
Paschall Elementary School,121,0,0,0,0,0,0,0,0,121
Pease Middle School,145,0,0,0,0,0,0,0,0,145
Pecan Valley Elementary School,129,0,0,0,0,0,0,0,0,129
Perales Steam Elementary School,0,0,0,0,0,0,0,0,0,0
Pieper Ranch Middle School,0,0,0,0,0,0,0,0,0,0
Poe Middle School,77,0,0,0,0,0,0,0,0,77
Powell Elementary School,81,0,0,0,0,0,0,0,0,81
Precinct 1 Satellite Office,0,0,0,0,0,0,0,0,0,0
Precinct 3 Satellite Office,0,0,0,0,0,0,0,0,0,0
Pre-K Academy @ West Avenue,161,0,0,0,0,0,0,0,0,161
Raba Elementary School,171,0,0,0,0,0,0,0,0,171
Ramirez Community Center,0,0,0,0,0,0,0,0,0,0
Rawlinson Middle School,0,0,0,0,0,0,0,0,0,0
Ray D. Corbett Jr. High School,0,0,0,0,0,0,0,0,0,0
Rayburn Elementary School,111,0,0,0,0,0,0,0,0,111
Redland Oaks Elementary School,489,0,0,0,0,0,0,0,0,489
