Early Voting Locations,Total,10/21/24,10/22/24,10/23/24,10/24/24,10/25/24,10/26/24,10/27/24,10/28/24,10/29/24,10/30/24,10/31/24,11/01/24,*11/05/24
Stone Oak Elementary School,548,0,0,0,0,0,0,0,0,0,0,0,0,548
Taft High School,1024,0,0,0,0,0,0,0,0,0,0,0,0,1024
Tejeda Middle School,685,0,0,0,0,0,0,0,0,0,0,0,0,685
Terrell Hills City Hall,413,0,0,0,0,0,0,0,0,0,0,0,0,413
Texas A&M University San Antonio,4306,352,346,331,357,337,284,151,348,342,328,252,457,522
The Rock United Methodist Church,48,0,0,0,0,0,0,0,0,0,0,0,0,48
Thornton Elementary School,361,0,0,0,0,0,0,0,0,0,0,0,0,361
Thousand Oaks Elementary School,646,0,0,0,0,0,0,0,0,0,0,0,0,646
Thousand Oaks Library,899,0,0,0,0,0,0,0,0,0,0,0,0,899
Tobin Library at Oakwell,12732,1362,1431,1476,1257,1228,1301,771,1363,1562,1586,1335,1633,785
Trinity United Methodist Church,343,0,0,0,0,0,0,0,0,0,0,0,0,343
Tuscany Heights Elementary School,940,0,0,0,0,0,0,0,0,0,0,0,0,940
Universal City Hall,510,0,0,0,0,0,0,0,0,0,0,0,0,510
Universal City Library,11491,1068,1223,1232,1248,1303,993,525,1290,1160,1053,938,1320,939
University of Texas at San Antonio,15026,1212,1591,1554,1639,1841,1442,911,1696,1794,1715,1557,1927,1188
UtSA,1188,0,0,0,0,0,0,0,0,0,0,0,0,1188
Vale Middle School,418,0,0,0,0,0,0,0,0,0,0,0,0,418
Vestal Elementary School,193,0,0,0,0,0,0,0,0,0,0,0,0,193
Veterans Memorial High School,377,0,0,0,0,0,0,0,0,0,0,0,0,377
Villarreal Elementary School,473,0,0,0,0,0,0,0,0,0,0,0,0,473
Vineyard Ranch Elementary School,731,0,0,0,0,0,0,0,0,0,0,0,0,731
Von Ormy Municipal Building,165,0,0,0,0,0,0,0,0,0,0,0,0,165
Wanke Elementary School,488,0,0,0,0,0,0,0,0,0,0,0,0,488
Ward Elementary School,837,0,0,0,0,0,0,0,0,0,0,0,0,837
Westminster Square Management,387,0,0,0,0,0,0,0,0,0,0,0,0,387
Westwood Terrace Elementary School,438,0,0,0,0,0,0,0,0,0,0,0,0,438
Wetmore Elementary School,781,0,0,0,0,0,0,0,0,0,0,0,0,781
Wilshire Elementary School,300,0,0,0,0,0,0,0,0,0,0,0,0,300
Windcrest Civic Center,7860,842,848,800,865,964,797,424,980,901,806,668,949,801
Wood Middle School,560,0,0,0,0,0,0,0,0,0,0,0,0,560
