Early Voting Locations,Total,04/22/24,04/23/24,04/24/24,04/25/24,04/26/24,04/27/24,04/28/24,04/29/24,*05/03/25
Paschall Elementary School,72,0,0,0,0,0,0,0,0,72
Pease Middle School,135,0,0,0,0,0,0,0,0,135
Pecan Valley Elementary School,69,0,0,0,0,0,0,0,0,69
Pieper Ranch High School,61,0,0,0,0,0,0,0,0,61
Powell Elementary School,54,0,0,0,0,0,0,0,0,54
Pre-K Academy @ West Avenue,121,0,0,0,0,0,0,0,0,121
Precinct 1 Satellite Office,1184,85,106,86,103,79,17,125,277,306
Precinct 3 Satellite Office,1737,128,144,138,161,124,53,264,467,258
Raba Elementary School,158,0,0,0,0,0,0,0,0,158
Rawlinson Middle School,105,0,0,0,0,0,0,0,0,105
Ray D Corbett Jr High School,10,0,0,0,0,0,0,0,0,10
Rayburn Elementary School,41,0,0,0,0,0,0,0,0,41
Redland Oaks Elementary School,294,0,0,0,0,0,0,0,0,294
Regency Place Elementary School,160,0,0,0,0,0,0,0,0,160
Rhodes Elementary School,65,0,0,0,0,0,0,0,0,65
Ridgeview Elementary School,230,0,0,0,0,0,0,0,0,230
Riverside Park Elementary School,60,0,0,0,0,0,0,0,0,60
Roan Forest Elementary School,51,0,0,0,0,0,0,0,0,51
Royal Ridge Elementary School,127,0,0,0,0,0,0,0,0,127
Rudder Middle School,249,0,0,0,0,0,0,0,0,249
Sac Victory Center,263,0,0,0,0,0,0,0,0,263
Sam Houston High School,27,0,0,0,0,0,0,0,0,27
Samuel A. Maverick Elementary School,77,0,0,0,0,0,0,0,0,77
San Antonio M.U.D. #1,37,0,0,0,0,0,0,0,0,37
Sarah King Elementary School,43,0,0,0,0,0,0,0,0,43
Scarborough Elementary School,140,0,0,0,0,0,0,0,0,140
Schaefer Branch Library,1489,102,93,103,112,128,71,200,301,379
Scobee Elementary School,127,0,0,0,0,0,0,0,0,127
Julia Yates Semmes Library,4484,316,387,445,410,339,182,639,883,883
Shavano Park City Hall,3579,191,274,329,360,340,138,518,834,595
Shepherd King Lutheran Church,100,0,0,0,0,0,0,0,0,100
Sidney Lanier High School,61,0,0,0,0,0,0,0,0,61
Smith Elementary School,47,0,0,0,0,0,0,0,0,47
Somerset City Hall,167,13,20,12,19,18,10,19,32,24
South San Antonio High School,64,0,0,0,0,0,0,0,0,64
Southside ISD Admin. Bldg.,151,7,10,12,11,7,4,22,31,47
Southwest ISD Admin. Building,19,0,0,0,0,0,0,0,0,19
Specht Elementary School,76,0,0,0,0,0,0,0,0,76
Spring Meadows Elementary School,62,0,0,0,0,0,0,0,0,62
St. Hedwig City Hall,391,16,22,36,32,21,10,41,75,138
St. James Catholic Church,70,0,0,0,0,0,0,0,0,70
St. Phillips College,292,23,12,17,24,15,26,43,87,45
Stahl Elementary School,116,0,0,0,0,0,0,0,0,116
Steubing Ranch Elementary School,116,0,0,0,0,0,0,0,0,116
Stevenson Middle School,126,0,0,0,0,0,0,0,0,126
Stone Oak Elementary School,127,0,0,0,0,0,0,0,0,127
Taft High School,44,0,0,0,0,0,0,0,0,44
Tejeda Middle School,118,0,0,0,0,0,0,0,0,118
Terrell Hills City Hall,106,0,0,0,0,0,0,0,0,106
Texas A&M University San Antonio,54,0,0,0,0,0,0,0,0,54
Thomas Edison High School,151,0,0,0,0,0,0,0,0,151
Thousand Oaks Elementary School,246,0,0,0,0,0,0,0,0,246
Thousand Oaks Library,255,0,0,0,0,0,0,0,0,255
Tobin Branch Library @ Oakwell,3991,267,307,340,408,331,156,554,841,787
Trinity United Methodist Church,102,0,0,0,0,0,0,0,0,102
Tuscany Heights Elementary School,45,0,0,0,0,0,0,0,0,45
Universal City Hall,93,0,0,0,0,0,0,0,0,93
Universal City Library,1323,138,118,134,156,113,43,172,251,198
University of Texas at San Antonio,1259,109,109,92,112,98,66,180,321,172
Veterans Memorial High School,15,0,0,0,0,0,0,0,0,15
Villarreal Elementary School,81,0,0,0,0,0,0,0,0,81
Vineyard Ranch Elementary School,311,0,0,0,0,0,0,0,0,311
Von Ormy Municipal Building,83,0,0,0,0,0,0,0,0,83
Wanke Elementary School,118,0,0,0,0,0,0,0,0,118
Ward Elementary School,37,0,0,0,0,0,0,0,0,37
Westminster Square Management,119,0,0,0,0,0,0,0,0,119
Westwood Terrace Elementary School,45,0,0,0,0,0,0,0,0,45
Wetmore Elementary School,370,0,0,0,0,0,0,0,0,370
Wilshire Elementary School,66,0,0,0,0,0,0,0,0,66
Windcrest Civic Center,674,49,46,51,57,34,35,95,187,120
Wonderland Mall of the Americas,4004,308,333,331,401,345,165,593,929,599
Woodlake Hills Middle School,30,0,0,0,0,0,0,0,0,30
Woodlawn Academy,185,0,0,0,0,0,0,0,0,185
Woodlawn Hills Elementary School,41,0,0,0,0,0,0,0,0,41
Woodstone Elementary School,69,0,0,0,0,0,0,0,0,69
Wortham Oaks Elementary School,10,0,0,0,0,0,0,0,0,10
Wright Elementary School,44,0,0,0,0,0,0,0,0,44
Young Men's Leadership Academy,29,0,0,0,0,0,0,0,0,29
Young Women's Leadership Academy,262,0,0,0,0,0,0,0,0,262
Zachry Middle School,100,0,0,0,0,0,0,0,0,100
Total in Person,97946,6527,7175,7493,8652,7164,3793,12669,20631,23842
